Review
"5.0
★★★★★
Former Employee
Retail assistant review
8 May 2023 - Retail Assistant- Sales Floor in London, England
Recommend
CEO Approval
Business Outlook
Pros
Was fun I enjoyed working there.
Cons
Rude customers during the sales
Be the first to find this review helpful
Helpful
Share
Report"
"2.0
★★★★★
Current Employee, more than 3 years
Avoid!!
23 May 2023 - Sales Associate in Manchester City Centre, England
Recommend
CEO Approval
Business Outlook
Pros
1. Making different  people  2. Potential for careers 3.  Good discount  4. Standard pay
Cons
1. Overworking yourself 2. Long hours 3. Management isn't always helpful unless you're friends with them 4. Rude customers 5. Unkind senior management 6. Constantly lacking staff 7. You will be physically, psychologically, and emotionally fatigued
Continue reading
Be the first to find this review helpful
Helpful
Share
Report"
"3.0
★★★★★
Former Employee
Not the worst but not the best either
22 May 2023 - Retail Sales Assistant 
Recommend
CEO Approval
Business Outlook
Pros
Not bad salary Not too stressful
Cons
Uniform Enviornment Staff and managers not very helpful They make the best staff to multitask on so many things Undestaff Shifts are not the best They don't value your hardwork
Continue reading
Be the first to find this review helpful
Helpful
Share
Report"
"3.0
★★★★★
Former Employee
law salaries
26 May 2023 - Sales Associate in Reading, England
Recommend
CEO Approval
Business Outlook
Pros
career growth, good team, good manager
Cons
always very busy and not enough staff
Be the first to find this review helpful
Helpful
Share
Report"
"3.0
★★★★★
Former Employee
Experience at Zara
28 Jan 2023 - Sales Assistant 
Recommend
CEO Approval
Business Outlook
Pros
- I was able to broaden my skills whilst working at ZARA as I was able to, not only communicate with employees, but I was also able to make customers feel comfortable and satisfied by the end of the conversation. Due to the communication skills I had, I was able to satisfy and fulfil the needs and wants of customers, meeting their requirements. - Furthermore, I was also able to sell high-end goods to customers as they'd ask for my opinion and help before purchasing a product from the store. - I was able to work with employees in a group to ensure that customers within the store remained satisfied and happy with the services provided. - I was also able to learn how to work under pressure which was entirely beneficial as, working in Oxford Street, it meant that whatever time it was, the store would be very busy. Therefore, after adapting to the workplace and being able to understand how everything works, I got the hang of it and would say that I definitely increased customer satisfaction rate.
Cons
I feel that there were a handful of employees that felt satisfied. The store was very diverse, however, although it looked diverse, there was a clear segregation within the store, meaning it was uncomfortable to work at times. Therefore, I felt the store was not worth staying at. I also believe that the pay was not enough for the job that we had to do, but that's not an issue anymore as there was a pay rise to £12 an hour.
Continue reading
Be the first to find this review helpful
Helpful
Share
Report"
"3.0
★★★★★
Former Employee, less than 1 year
Zara
26 May 2023 - Retail Sales Assistant in London, England
Recommend
CEO Approval
Business Outlook
Pros
Great Staff, Good stores and management.
Cons
Understaffed usually so have to do double the work.
Be the first to find this review helpful
Helpful
Share
Report"
"3.0
★★★★★
Former Employee
Zara
26 May 2023 - Sales Associate in London, England
Recommend
CEO Approval
Business Outlook
Pros
Good pay Nice people You make bonus
Cons
Isolating if your not Spanish
Be the first to find this review helpful
Helpful
Share
Report"
"2.0
★★★★★
Current Employee
Hectic
25 May 2023 - Sales Associate in London, England
Recommend
CEO Approval
Business Outlook
Pros
nice people to meet and get to know
Cons
super hectic and disorganised, they will have you running around all day like crazy
Be the first to find this review helpful
Helpful
Share
Report"
"3.0
★★★★★
Former Employee, less than 1 year
Fine
24 May 2023 - Intern in London, England
Recommend
CEO Approval
Business Outlook
Pros
Great environment to see fashion
Cons
Some employees are rude to each other
Continue reading
Be the first to find this review helpful
Helpful
Share
Report"
"3.0
★★★★★
Former Employee, less than 1 year
Sales Assistant Position - Zara Reading
23 May 2023 - Sales Assistant in Reading, England
Recommend
CEO Approval
Business Outlook
Pros
Employee discount. Uniforms were provided.
Cons
Low working hour flexibility and overall hectic atmosphere.
Continue reading
Be the first to find this review helpful
Helpful
Share
Report"
